SMILES,SMILES_state,Scaffold,R-groups,NLL
COc1cc(N)c(C(=O)NCCOS(=O)(=O)NC(=N)c2ccc(CNc3cc(C4CCCCC4)nc(CN)c3O)cc2)cc1OC,1,N(C(c1ccc(C[*])cc1)=N)[*],C1(c2cc(N*)c(O)c(CN)n2)CCCCC1|O=S(=O)(*)OCCNC(=O)c1c(N)cc(OC)c(OC)c1,41.24
CC(N)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],C*|*N,4.57
CC(=O)Nc1ccc(C(=N)Nc2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1ccccc1*|C(C)(*)=O,9.05
Cc1cc(CNC(=O)Oc2cc(OCc3ccccc3)c(N=[N+]=[N-])cc2OC(=O)CCc2ccc(C(=N)NC(=O)OCc3ccccc3)cc2)ccc1OS(=O)(=O)c1cccc(N)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1c(COc2c(N=[N+]=[N-])cc(OC(C*)=O)c(OC(=O)NCc3ccc(OS(c4cccc(N)c4)(=O)=O)c(C)c3)c2)cccc1|c1ccc(COC(=O)*)cc1,51.17
CC(C)CCC(CCCNC(=N)N)C1CCC(C)CC1,1,C(NC(=N)N)CCC([*])[*],C1(*)CCC(C)CC1|CC(CC*)C,16.46
N=C(NC(=O)c1ccccc1)c1ccc(NC(=O)CCC(=O)NN=CCNC(N)=S)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1ccccc1C(*)=O|*C(=O)CCC(=O)NN=CCNC(N)=S,28.7
Cc1cc(NC(=O)OCc2cccc(C=NNC(=O)NC(C)CN)c2OCc2ccc(C(=N)NC(N)=O)cc2)c(Nc2cc(C)c(OC(=O)CCCN=C(N)N)c(Br)c2)c(CCl)c1Cl,1,N(C(c1ccc(C[*])cc1)=N)[*],O=C(NN=Cc1c(O*)c(COC(Nc2cc(C)c(Cl)c(CCl)c2Nc2cc(C)c(OC(=O)CCCN=C(N)N)c(Br)c2)=O)ccc1)NC(CN)C|O=C(*)N,64.7
CC(C)C(CCCNC(=N)N)CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCCOCCN,1,C(NC(=N)N)CCC([*])[*],CC(C)*|O=C(C(Cc1ccc(O)cc1)NC(C*)=O)NCC(NCCOCCN)=O,28.65
N=C(NS(=O)(=O)c1ccccc1)c1ccc(CN)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],*N|c1ccccc1S(=O)(=O)*,9.32
N=C(N)NCCCC(N)N,1,C(NC(=N)N)CCC([*])[*],*N|N*,5.95
CC(C)(C)OC(=O)N=C(N)c1ccc(C(=O)NC(=N)c2ccc(NC(=O)c3ccccc3)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,*C(=O)c1ccc(C(N)=NC(OC(C)(C)C)=O)cc1|C(=O)(*)c1ccccc1,19.12
CCCOC(=O)N(C(=O)c1ccccc1)c1ccc(OCc2ccc(C(=N)NC(N)=O)cc2)c(OC)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1c(C(N(c2cc(OC)c(O*)cc2)C(=O)OCCC)=O)cccc1|*C(=O)N,30.65
CC(CCCNC(=N)N)c1ccccc1,1,C(NC(=N)N)CCC([*])[*],*C|c1cccc(*)c1,8.5
CCCCCN=C=NC(=NC(N)=NCCN1CCCCC1)SC1CCN(CCNC(=N)c2ccc(NC(C)=O)cc2)C1,1,[*]NC(c1ccc(N[*])cc1)=N,*CCN1CC(SC(=NC(=NCCN2CCCCC2)N)N=C=NCCCCC)CC1|*C(C)=O,42.91
CC(C)C(N)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],N*|*C(C)C,7.61
CNc1nc(CNCc2ccc(C(=N)NS(=O)(=O)Oc3ccccc3)cc2)c(Br)c(Nc2ccccc2CCS(N)(=O)=O)n1,1,N(C(c1ccc(C[*])cc1)=N)[*],Brc1c(CN*)nc(NC)nc1Nc1c(CCS(=O)(N)=O)cccc1|c1(OS(*)(=O)=O)ccccc1,40.83
CCC(N)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],CC*|*N,6.93
N=C(NC(=O)CCCC(=NN=C(N)N)c1ccccc1)c1ccc(NC(=O)CCCN=C(N)N)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1cc(C(CCCC(*)=O)=NN=C(N)N)ccc1|C(CCC(*)=O)N=C(N)N,22.31
CNc1cc(NCc2ccc(C(=N)NC(N)=O)cc2)nc(N)n1,1,N(C(c1ccc(C[*])cc1)=N)[*],*Nc1cc(NC)nc(N)n1|C(=O)(*)N,17.21
Cc1ccc(OCC(=O)O)cc1C(CCCNC(=N)N)c1ccccc1,1,C(NC(=N)N)CCC([*])[*],c1cccc(*)c1|c1(*)c(C)ccc(OCC(O)=O)c1,18.19
CCc1ccc(C(=N)NS(=O)(=O)c2ccc(NC(=O)OCCCCNc3c(CNS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],*C|O=S(*)(=O)c1ccc(NC(OCCCCNc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2CNS(=O)(c2cc([N+]([O-])=O)ccc2)=O)=O)cc1,42.15
Cc1cc(O)ccc1C(CCCNC(=N)N)C(C)C,1,C(NC(=N)N)CCC([*])[*],C(C)(C)*|c1c(*)c(C)cc(O)c1,13.84
CCCCCc1ccc(NC(=N)c2ccc(NC(=O)C(N)Cc3ccccc3)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,*c1ccc(CCCCC)cc1|NC(Cc1ccccc1)C(=O)*,17.18
Cc1ccccc1S(=O)(=O)NC(=N)c1ccc(CC(CO)c2c(C)cccc2NC(=O)c2ccccc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],C(O)C(*)c1c(C)cccc1NC(c1ccccc1)=O|c1c(S(*)(=O)=O)c(C)ccc1,31.97
N=C(N)NCCCC(c1cccc(CN)c1)c1cccc(CNCCN2SCCC2CNC(=O)Cc2cccc3ccccc23)c1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cc(CNCCN2C(CNC(Cc3c4ccccc4ccc3)=O)CCS2)cc1|c1c(*)cc(CN)cc1,39.32
CC(=O)Nc1ccc(C(=N)NC(=O)N=C(N)N)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,NC(=NC(*)=O)N|*C(=O)C,11.59
N=C(NC(N)=O)c1ccc(CNc2nnc(N)[nH]2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1(N)[nH]c(N*)nn1|C(=O)(N)*,16.13
N=C(N)NCCCC(Cc1ccccc1)c1ccccc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cccc1|C(*)c1ccccc1,9.0
CC(=O)Nc1ccc(C(=N)NC(=O)C=Cc2ccc(N)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1cc(C=CC(=O)*)ccc1N|CC(*)=O,11.75
COc1ccc(Br)cc1CNCCCNCCCNCCCNCCc1cc(Br)c(Oc2ccc(N=C(N)c3ccccn3)cc2)c(CN(C)Cc2ccc(C(=N)NS(=O)(=O)O)cc2)c1O,1,N(C(c1ccc(C[*])cc1)=N)[*],C(c1c(O)c(CN(*)C)c(Oc2ccc(N=C(N)c3ncccc3)cc2)c(Br)c1)CNCCCNCCCNCCCNCc1c(OC)ccc(Br)c1|*S(=O)(=O)O,54.47
N=C(NC(=O)CCc1ccccc1)c1ccc(NC(=O)c2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1cccc(CCC(*)=O)c1|C(=O)(*)c1ccccc1,13.78
CCN1CC(C)N=C(N)C1Oc1cccc2ccnc(Cc3ccc(C(=N)NS(=O)(=O)c4ccccc4)cc3)c12,1,N(C(c1ccc(C[*])cc1)=N)[*],c1cc(OC2C(N)=NC(C)CN2CC)c2c(*)nccc2c1|*S(=O)(=O)c1ccccc1,42.97
CC1(C)C(CC(CCCNC(=N)N)c2ccccc2)C1C(=O)NCCC(N)=NCCN,1,C(NC(=N)N)CCC([*])[*],C1(C*)C(C)(C)C1C(=O)NCCC(=NCCN)N|c1ccccc1*,25.95
COC(=O)NC(=N)c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],C1(=O)N(*)C(=O)c2ccccc2N1|*C(=O)OC,14.78
CC(=O)Cc1cccc(C(CCCNC(=N)N)c2ccccc2)c1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cccc1|c1c(*)cc(CC(C)=O)cc1,19.13
N=C(NC=O)c1ccc(NC(=O)CCc2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C*|C(*)(CCc1ccccc1)=O,11.95
COc1ccc(CNCCOC(=O)c2ccccc2S(=O)(=O)NC(=N)c2ccc(CNc3cc(C(N)=NON)cc4c(Cl)cccc34)cc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1c(Cl)c2c(c(N*)cc(C(=NON)N)c2)cc1|O=S(*)(=O)c1c(C(OCCNCc2ccc(OC)cc2)=O)cccc1,43.32
N=C(N)NCCCC(c1ccc(Cl)cc1)c1cccc(Cl)c1,1,C(NC(=N)N)CCC([*])[*],*c1cccc(Cl)c1|c1(*)ccc(Cl)cc1,16.19
N=C(NC(=O)c1ccc(C(N)=NCC(N)CCN=C(N)N)cc1)c1ccc(NC(=O)CCCN=C(N)N)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,N(=C(c1ccc(C(*)=O)cc1)N)CC(CCN=C(N)N)N|O=C(CCCN=C(N)N)*,30.84
CCc1c(N(C(=O)NCC(=O)NCCCN=C(N)N)c2c(OCc3ccc(C(=N)NC(N)=O)cc3)ccc(C)c2C)ccc(O)c1CNCc1cc(N)cc(C(=O)O)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1(N(c2c(C)c(C)ccc2O*)C(NCC(NCCCN=C(N)N)=O)=O)c(CC)c(CNCc2cc(N)cc(C(=O)O)c2)c(O)cc1|C(=O)(*)N,51.21
CC(C)C(C)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],C(*)(C)C|C*,8.08
CC(=O)Nc1ccc(C(=N)Nc2ccc(C(N)=NC(C)C)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,*c1ccc(C(N)=NC(C)C)cc1|CC(*)=O,11.87
Cc1cc(N)c(N)nc1CNCc1ccc(C(=N)NS(=O)(=O)c2ccccc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],n1c(CN*)c(C)cc(N)c1N|c1ccccc1S(=O)(=O)*,23.52
CC(N)CCCNC(=N)N,1,C(NC(=N)N)CCC([*])[*],*N|C*,5.46
N=C(NCC1N=NN=N1)c1ccc(NC(=O)CN=C(N)N)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,N1=NN=NC1C*|O=C(CN=C(N)N)*,20.2
CCOC(=O)c1c(NS(=O)(=O)CCF)cccc1OCCSC(=O)Oc1ccc(Br)c(S(=O)(=O)NC(=N)c2ccc(CN3CCN(c4ccc(OC)cc4)CC3)cc2)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],C1CN(c2ccc(OC)cc2)CCN1*|*S(=O)(=O)c1c(Br)ccc(OC(SCCOc2cccc(NS(=O)(CCF)=O)c2C(=O)OCC)=O)c1,61.46
CC(C)N=C(N)c1ccc(CCc2cccc(C(N)CCCNC(=N)N)c2)cc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cc(CCc2ccc(C(=NC(C)C)N)cc2)cc1|*N,20.26
Cc1cc(C)c(S(=O)(=O)NC(=N)c2ccc(CN3CCN(C(=O)CCc4ccc(N=Nc5ccccc5C(=O)NCCCCN=C(N)N)cc4)CC3)cc2)c(C)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],*N1CCN(C(CCc2ccc(N=Nc3c(C(NCCCCN=C(N)N)=O)cccc3)cc2)=O)CC1|*S(=O)(=O)c1c(C)cc(C)cc1C,38.56
N=C(N)NCCCC(N)CCCCN,1,C(NC(=N)N)CCC([*])[*],*CCCCN|*N,11.19
CC(=O)NC(=N)c1ccc(NC(C)=O)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,CC(=O)*|C(=O)(*)C,8.9
N=C(NC(=O)Nc1cccc(CCl)c1)c1ccc(Cc2cccc(OCC(=O)NCCN)c2ON=Cc2cn(Cc3cccc(-c4ccccc4)c3)ccc2=O)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],O(c1c(OCC(NCCN)=O)cccc1*)N=Cc1c(=O)ccn(Cc2cccc(-c3ccccc3)c2)c1|N(C(*)=O)c1cc(CCl)ccc1,57.29
C=CCOC(=O)NC(=N)c1ccc(NC(=O)c2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C(*)OCC=C|O=C(*)c1ccccc1,11.01
N=C(N)NCCCC(C1CCCCC1)C1CC1,1,C(NC(=N)N)CCC([*])[*],C1C(*)C1|C1C(*)CCCC1,10.93
CC(COC(=O)Nc1ccc(C(=N)NC(=O)CC[n+]2cccc(C(=NN=Nc3ccc(N)cc3)c3ccccc3)c2)cc1)=NN=C(N)N,1,[*]NC(c1ccc(N[*])cc1)=N,c1[n+](CCC(=O)*)cccc1C(=NN=Nc1ccc(N)cc1)c1ccccc1|*C(OCC(C)=NN=C(N)N)=O,45.16
N=C(NC(=O)c1ccc(CCl)cc1)c1ccc(CN)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],N*|c1(C(=O)*)ccc(CCl)cc1,17.7
N=C(N)NCCCC(Cc1ccc(O)cc1)NCC1CCNC1C(=O)NCCNS(=O)(=O)Cc1ccccc1Cl,1,C(NC(=N)N)CCC([*])[*],c1c(C*)ccc(O)c1|C1(CN*)C(C(=O)NCCNS(Cc2c(Cl)cccc2)(=O)=O)NCC1,32.34
C=CCOC(=O)Nc1ccc(C(=N)Nc2ccc(C)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1(*)ccc(C)cc1|C(COC(*)=O)=C,17.83
Cc1ccccc1N=Nc1ccc(O)c(OCc2ccc(C(=N)NC(N)=O)cc2)c1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1(N=Nc2cc(O*)c(O)cc2)c(C)cccc1|NC(=O)*,25.96
CC(CCCNC(=N)N)c1cccc(CCCC(=O)O)c1,1,C(NC(=N)N)CCC([*])[*],c1cc(CCCC(O)=O)cc(*)c1|C*,16.95
COc1cc(OC)c(OC)cc1N=Nc1c(OC(=O)Oc2c(OC)cccc2S(=O)(=O)NC(=N)c2ccc(COc3ccc(NC(N)=O)c(O)c3)cc2)cccc1C(=O)O,1,N(C(c1ccc(C[*])cc1)=N)[*],N(C(=O)N)c1ccc(O*)cc1O|c1cc(S(*)(=O)=O)c(OC(=O)Oc2c(N=Nc3cc(OC)c(OC)cc3OC)c(C(=O)O)ccc2)c(OC)c1,49.78
CNC(CCCNC(=N)N)Cc1ccc(O)cc1,1,C(NC(=N)N)CCC([*])[*],N(*)C|c1cc(C*)ccc1O,12.24
N=C(NC=O)c1ccc(NC(=O)c2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,C(*)=O|c1cccc(C(*)=O)c1,9.58
N=C(NC(=O)OCc1ccccc1)c1ccc(CNS(=O)(=O)c2ccc(NC(=S)NS(=O)(=O)c3ccccc3Br)cc2[N+](=O)[O-])cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],N(S(=O)(c1c([N+](=O)[O-])cc(NC(=S)NS(=O)(c2ccccc2Br)=O)cc1)=O)*|*C(OCc1ccccc1)=O,39.05
CC(C)CC(CCCNC(=N)N)Cc1ccccc1,1,C(NC(=N)N)CCC([*])[*],C(*)C(C)C|c1ccccc1C*,13.27
CC(=O)Nc1ccc(C(=N)NC(=O)C=CCN(C)C)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,CN(C)CC=CC(*)=O|CC(=O)*,14.75
CCc1ccc(C(=N)NC(=O)NC(=O)CN2CCCC(CS(N)(=O)=O)C2c2ccccc2)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],C*|*C(=O)NC(CN1CCCC(CS(=O)(=O)N)C1c1ccccc1)=O,35.41
Cc1cc(C(CCCNC(=N)N)c2ccccc2)cc(CC(C)C)c1N,1,C(NC(=N)N)CCC([*])[*],c1c(*)cccc1|c1(C)cc(*)cc(CC(C)C)c1N,17.05
CCc1ccc(C=CC(=O)NC(=N)c2ccc(NC(C)=O)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,C(*)(C=Cc1ccc(CC)cc1)=O|CC(*)=O,19.32
COC(=O)N(c1cc[n+](CNc2cccc(CCC(=O)NCCc3cc(OCc4ccc(C(=N)NC(N)=O)cc4)cc(NC=O)c3O)c2)cc1)c1ccccc1OC(C)C,1,N(C(c1ccc(C[*])cc1)=N)[*],C(CC(=O)NCCc1c(O)c(NC=O)cc(O*)c1)c1cccc(NC[n+]2ccc(N(c3ccccc3OC(C)C)C(OC)=O)cc2)c1|*C(=O)N,56.86
N=C(N)NCCCC(c1ccccc1)C1CCCCC1,1,C(NC(=N)N)CCC([*])[*],c1c(*)cccc1|C1CC(*)CCC1,9.41
CC(C)(C)OC(=O)NC(=N)c1ccc(NC(=O)CN)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,CC(C)(OC(*)=O)C|*C(CN)=O,15.66
N=C(NC(=O)c1ccccc1)c1ccc(CNC(Nc2cccc(N)c2C(N)=O)C(=O)NCCCN=C(N)N)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],NC(N)=NCCCNC(=O)C(N*)Nc1c(C(N)=O)c(N)ccc1|c1c(C(*)=O)cccc1,33.05
N=C(N)NCCCC(Cc1ccccc1)c1ccc(O)cc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)ccc(O)c1|c1ccc(C*)cc1,9.69
CC(C)(C)OC(=O)NC(=N)c1ccc(NC(=O)c2ccc(C#N)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,CC(C)(OC(*)=O)C|O=C(*)c1ccc(C#N)cc1,17.73
CC(=NC(N)=NC(=O)NCc1ccccc1)NCCc1ccc(OCc2ccc(C(N)CCCNC(=N)N)cc2)cc1,1,C(NC(=N)N)CCC([*])[*],c1c(*)ccc(COc2ccc(CCNC(=NC(=NC(=O)NCc3ccccc3)N)C)cc2)c1|N*,24.92
C=CCc1ccc(Oc2ccc(N=C=CCCCCC=NN)cc2C(=O)O)c(C(=O)NC(=N)c2ccc(NC(=O)CCC(=O)O)cc2)c1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C(*)c1c(Oc2ccc(N=C=CCCCCC=NN)cc2C(O)=O)ccc(CC=C)c1|C(=O)(CCC(=O)O)*,44.22
C[n+]1ccc(C(=CCc2cc(COCc3ccccc3)c(Oc3ccccc3)cc2COCc2ccc(C(=N)NC(N)=O)cc2)NS(=O)(=O)O)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],c1c(Oc2cc(CO*)c(CC=C(NS(O)(=O)=O)c3cc[n+](C)cc3)cc2COCc2ccccc2)cccc1|*C(=O)N,47.14
N=C(N)NCCCC(N)c1ccccc1,1,C(NC(=N)N)CCC([*])[*],N*|c1(*)ccccc1,5.9
N=C(NC(=O)OC1CCCCC1C=CN=C(N)N)c1ccc(NC(=O)CN)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,*C(=O)OC1CCCCC1C=CN=C(N)N|O=C(*)CN,23.33
N=C(N)NCCCC(N)c1ccc2ccccc2c1,1,C(NC(=N)N)CCC([*])[*],c1c(*)ccc2c1cccc2|N*,11.21
N=C(NC=O)c1ccc(Nc2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C*|c1(*)ccccc1,8.37
CCN(CC)CCNc1ccc(OCCN2CCN(C(=O)Nc3cc(OC)c(Cl)cc3OC)CC2)cc1NCc1ccc(C(=N)NC(=O)OC)cc1,1,N(C(c1ccc(C[*])cc1)=N)[*],*Nc1c(NCCN(CC)CC)ccc(OCCN2CCN(C(=O)Nc3c(OC)cc(Cl)c(OC)c3)CC2)c1|C(OC)(=O)*,46.94
N=C(N)NCCCC(CC1CCCCC1)c1ccc(CO)cc1,1,C(NC(=N)N)CCC([*])[*],c1cc(*)ccc1CO|*CC1CCCCC1,18.55
N=C(NC(=O)CCC(=O)O)c1ccc(NC(=O)c2ccccc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,C(CC(=O)*)C(O)=O|C(*)(c1ccccc1)=O,17.4
COc1c(NC2CCC(N)CC2)cc(NCc2ccc(C(=N)NC(N)=NN)cc2)c(C(N)=O)c1C,1,N(C(c1ccc(C[*])cc1)=N)[*],C1(Nc2cc(N*)c(C(N)=O)c(C)c2OC)CCC(N)CC1|NN=C(*)N,36.33
Cc1cccc(C(CCCNC(=N)N)c2ccccc2)c1,1,C(NC(=N)N)CCC([*])[*],Cc1cccc(*)c1|*c1ccccc1,13.59
N=C(NC(=O)CCN=C(N)N)c1ccc(NC(=O)N=C(N)NCCCCN=C(N)N)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,O=C(CCN=C(N)N)*|NC(=NC(*)=O)NCCCCN=C(N)N,20.27
Cc1cc(S(=O)(=O)N(C)Cc2ccc(C(=N)NC(=O)c3ccccc3C(=O)OCc3ccccc3)cc2)ccc1OC(=O)NCc1nn(C)cc1Br,1,N(C(c1ccc(C[*])cc1)=N)[*],c1cc(S(N(*)C)(=O)=O)cc(C)c1OC(NCc1c(Br)cn(C)n1)=O|c1c(C(=O)*)c(C(OCc2ccccc2)=O)ccc1,44.47
Cc1ccc(C(CCCNC(=N)N)CCc2ccc(N(C)C)cc2)cc1,1,C(NC(=N)N)CCC([*])[*],c1c(C)ccc(*)c1|*CCc1ccc(N(C)C)cc1,18.8
N=C(N)c1cccc(CNC(=N)c2ccc(NC(=O)Cc3ccccc3)cc2)c1,1,[*]NC(c1ccc(N[*])cc1)=N,c1ccc(C(=N)N)cc1C*|c1cccc(CC(*)=O)c1,15.72
Cc1cccc(N(CCOc2ccc(C3CCCCN3Cc3ccc(C(=N)NC(=O)NOC(c4ccccc4)c4ccccc4)cc3)cc2)S(=O)(=O)c2c(C)cc(C)c(N)c2C)c1C,1,N(C(c1ccc(C[*])cc1)=N)[*],c1(N(CCOc2ccc(C3CCCCN3*)cc2)S(=O)(=O)c2c(C)c(N)c(C)cc2C)c(C)c(C)ccc1|c1ccc(C(c2ccccc2)ONC(=O)*)cc1,57.82
N=C(N)NCCCC(NCCc1ccccc1)c1ccc(O)cc1,1,C(NC(=N)N)CCC([*])[*],c1(*)ccc(O)cc1|C(CN*)c1ccccc1,15.82
N=C(N)c1ccc(NC(=N)c2ccc(NC(=O)CCl)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,c1cc(C(=N)N)ccc1*|*C(CCl)=O,11.73
CNC(CCCNC(=N)N)c1ccc(C)cc1,1,C(NC(=N)N)CCC([*])[*],c1(C)ccc(*)cc1|CN*,11.61
CC(C)=CC(=O)NC(=N)c1ccc(NC(=O)c2ccc(C(N)=NC(=N)OCc3ccccc3)cc2)cc1,1,[*]NC(c1ccc(N[*])cc1)=N,C(C=C(C)C)(*)=O|c1c(C(=NC(OCc2ccccc2)=N)N)ccc(C(=O)*)c1,21.53
