uniprot,gene,n_trials,n_distinct_ligands_available_in_pdb,n_duplicate_entries_collapsed,median_resolution,mean_n_observed_residues,mean_n_core_residues,n_trials_with_empty_core,n_lipid_class_instances_seen,mean_max_tanimoto,delta_consensus_minus_p2rank_primary,delta_consensus_minus_one_random_other_ligand_primary,consensus::precision,consensus::recall,consensus::f1,consensus::jaccard,consensus_size_matched::precision,consensus_size_matched::recall,consensus_size_matched::f1,consensus_size_matched::jaccard,p2rank_top1::precision,p2rank_top1::recall,p2rank_top1::f1,p2rank_top1::jaccard,p2rank_best_of_3::precision,p2rank_best_of_3::recall,p2rank_best_of_3::f1,p2rank_best_of_3::jaccard,null1_one_random_other_ligand::precision,null1_one_random_other_ligand::recall,null1_one_random_other_ligand::f1,null1_one_random_other_ligand::jaccard,null2_most_dissimilar_other_ligand::precision,null2_most_dissimilar_other_ligand::recall,null2_most_dissimilar_other_ligand::f1,null2_most_dissimilar_other_ligand::jaccard,buried::precision,buried::recall,buried::f1,buried::jaccard,buried_size_matched::precision,buried_size_matched::recall,buried_size_matched::f1,buried_size_matched::jaccard,buried_surface_size_matched::precision,buried_surface_size_matched::recall,buried_surface_size_matched::f1,buried_surface_size_matched::jaccard,random::precision,random::recall,random::f1,random::jaccard,random_size_matched::precision,random_size_matched::recall,random_size_matched::f1,random_size_matched::jaccard,union_all::precision,union_all::recall,union_all::f1,union_all::jaccard
Q06187,BTK,25,147,0,1.3,21.28,15.0,0,0,0.45610981484197066,0.20317347059954238,0.18471685186045017,0.8960000000000001,0.6513537736626192,0.7442103913624546,0.5962781698105852,0.7815388374410862,0.7815388374410862,0.7815388374410862,0.6472999442760963,0.6928265294004577,0.8236643065413679,0.7432294023731097,0.6038199657680781,0.6928265294004577,0.8236643065413679,0.7432294023731097,0.6038199657680781,0.71128314813955,0.7154320013315854,0.6956743134355601,0.5491011485830639,0.766521449564928,0.5719927340525541,0.63455492055547,0.4676728125498045,0.005333333333333333,0.003722943722943723,0.004384384384384384,0.002253968253968254,0.005102254067771309,0.005102254067771309,0.005102254067771309,0.0026075967002020086,0.20423702570958946,0.20423702570958946,0.20423702570958946,0.11576881436827857,0.09925333333333333,0.06989189075508867,0.08104554848358388,0.04336974099062588,0.09972002210682868,0.09972002210682868,0.09972002210682868,0.05372298894632824,0.45031413113559277,0.990383808095952,0.6125552401084895,0.4476595744680851
P00915,CA1,25,45,0,1.479,17.36,16.0,0,0,0.5354103435415101,0.6475306893625399,0.0707501483724392,0.9225,0.8545269886632115,0.884375048765679,0.7950258980785295,0.887845677542272,0.887845677542272,0.887845677542272,0.8035083912991035,0.27496931063746016,0.3924273920094353,0.3141387172647176,0.24191316418135642,0.6349342229181619,0.8060407920253122,0.6977762543759388,0.5472783815726608,0.8517498516275608,0.8489155762709941,0.8448015649643991,0.7366545793006892,0.8047294707356627,0.8925523707458691,0.8420635280861815,0.7314634114931599,0.065,0.05995355092104318,0.06216008698011577,0.03233301039767375,0.05909885006634233,0.05909885006634233,0.05909885006634233,0.030668483635845747,0.12493999705145216,0.12493999705145216,0.12493999705145216,0.06764399587861573,0.0584,0.053686360622521585,0.05578205416647864,0.029511991990932466,0.05980725822852755,0.05980725822852755,0.05980725822852755,0.031689992795271196,0.556407860585836,0.9854302422723475,0.7088022664205422,0.5509677419354838
P00918,CA2,25,248,5,1.05,15.6,13.4,0,16,0.43636378835093553,0.17371746437257263,0.18136272643764895,0.8156043956043956,0.6901952345899716,0.7421691648446211,0.6524365243497025,0.7799035438245965,0.7799035438245965,0.7799035438245965,0.7092762566100835,0.6418869312318229,0.7970053707902005,0.7041630914643704,0.5614570743943742,0.6418869312318229,0.7970053707902005,0.7041630914643704,0.5614570743943742,0.6342416691667466,0.6264436436370646,0.6220873242409559,0.5325020574063818,0.2299242424242424,0.18740732038429406,0.2039750387702974,0.17558443931799195,0.0,0.0,0.0,0.0,0.00831578947368421,0.00831578947368421,0.00831578947368421,0.004268884268884269,0.06587073916795279,0.06587073916795279,0.06587073916795279,0.03483362607827287,0.05044175824175825,0.04322787520013526,0.045600607713405926,0.02411920459796007,0.048493872592835434,0.048493872592835434,0.048493872592835434,0.02564187307576717,0.2647947140578719,0.9321592215833703,0.4106106388373302,0.26245614035087717
P24941,CDK2,22,378,0,1.28,16.09090909090909,12.818181818181818,0,0,0.36688853685623396,0.23117701734822926,0.18538878023187044,0.7633200133200133,0.5730585171075602,0.6477552090050455,0.5167810921188348,0.7176761938143165,0.7176761938143165,0.7176761938143165,0.6143064545206386,0.532142995971784,0.7606756836527453,0.6161081183980881,0.4761140652379358,0.532142995971784,0.7606756836527453,0.6161081183980881,0.4761140652379358,0.5779312330881429,0.5765417394079793,0.5691863105980132,0.4639101311484089,0.4153828197945845,0.3387281814332898,0.3691530549118525,0.28874137887739376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552279966648107,0.11552279966648107,0.11552279966648107,0.06343420924093596,0.06797036297036296,0.05456093219567746,0.05845528484983323,0.031237802073909006,0.06884194048321192,0.06884194048321192,0.06884194048321192,0.0368366884770694,0.2941805047377803,0.8738702817650186,0.4378155277430346,0.2923351158645276
P08684,CYP3A4,24,98,0,2.202,15.333333333333334,9.416666666666666,0,0,0.5881752654895643,0.5772820149168189,0.22059124761923243,0.8347222222222223,0.5546601680841231,0.6464603406057621,0.4883542369612584,0.6868686555460936,0.6868686555460936,0.6868686555460936,0.5309061545686315,0.2574402073054034,0.5876210310372462,0.33962893404193634,0.20941331753619927,0.4340185820087781,0.6546254281064652,0.4665829538404164,0.31696421232924765,0.6141309746029898,0.6139991518718783,0.5828887167292603,0.4250967273814304,0.7012361724532777,0.3866679942434586,0.4362959363161438,0.2874213619980491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013764360639360639,0.013764360639360639,0.013764360639360639,0.007175349434811359,0.043060185185185174,0.02624175696916602,0.031797910835406146,0.01681409246218238,0.04401078283136139,0.04401078283136139,0.04401078283136139,0.023294588773489083,0.34667899929527835,0.9923798466755124,0.5049720151556746,0.34564393939393945
P00374,DHFR,25,63,2,1.396,16.12,15.4,0,0,0.5768937783532984,0.47379635787510554,0.059554213824530966,0.8886666666666667,0.8558174357462285,0.8687064137415509,0.7848841678232091,0.8907959207974687,0.8907959207974687,0.8907959207974687,0.8224636591478697,0.41487030879156117,0.8727173174262957,0.560399420506918,0.3972230725083267,0.43315602307727535,0.9103643762498251,0.5850148051223026,0.41500085028610445,0.8291124528421357,0.8307029377743,0.8252720522599357,0.7284319177965181,0.7730582850989365,0.8555509885113466,0.8073689658929932,0.6936545407742303,0.028666666666666663,0.02668204825789965,0.02756859870047726,0.014231283918158222,0.031387930610840824,0.031387930610840824,0.031387930610840824,0.016186372698052343,0.22428416251790864,0.22428416251790864,0.22428416251790867,0.12814623042962744,0.09167166666666665,0.08768129785247428,0.08929408165936005,0.04811695002636715,0.08978188550183903,0.08978188550183903,0.08978188550183903,0.04833127901934278,0.43830395748042805,0.9709666322669419,0.6018840439302783,0.43333333333333335
Q02127,DHODH,27,107,24,1.58,20.555555555555557,21.0,0,3,0.4775239033019679,0.3998089688338598,0.12557752927978838,0.7601410934744268,0.7647619215848825,0.7544005657722542,0.662217563676785,0.7402778866802738,0.7402778866802738,0.7402778866802738,0.6673981495566577,0.360332124640567,0.9563499908256943,0.5175403952782921,0.3538427878465741,0.360332124640567,0.9563499908256943,0.5175403952782921,0.3538427878465741,0.6345635641946384,0.6301428432297286,0.6174746436575572,0.5156811693959392,0.5033973898708198,0.4929494384453179,0.4921577756026585,0.39078622013917663,0.003527336860670194,0.002849002849002849,0.003152088258471237,0.0016460905349794238,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.0014814814814814814,0.07703323357202299,0.07703323357202299,0.07703323357202299,0.04099176957268837,0.07888888888888884,0.08131044574235818,0.0788643314694094,0.041999739654985185,0.07720558287659735,0.07720558287659735,0.07720558287659735,0.04119388119683526,0.2859783018734814,0.9485117883810695,0.4352194013805692,0.2828770799785293
P27487,DPP4,25,82,0,2.0,16.08,14.4,0,0,0.3920086837753511,0.7297150852520871,0.08301239765136814,0.9436190476190476,0.8512521008403362,0.8920343391477331,0.8099941207743064,0.9026065503124328,0.9026065503124328,0.9026065503124328,0.8307036709420611,0.2139039623669605,0.23018627450980392,0.2202151521729948,0.1838062759394029,0.77246783625731,0.8308405516052575,0.7980468085046634,0.6870506882178709,0.8606066499676794,0.8597293677727501,0.8554672155789941,0.7551052119117853,0.9393880629174747,0.8503753501400559,0.888884587769558,0.804982849280063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02493909358615241,0.02493909358615241,0.02493909358615241,0.01306782270109944,0.022740952380952386,0.020289999281763987,0.021369116678322655,0.011158824769147839,0.021269798534798535,0.021269798534798535,0.021269798534798535,0.011087442230766463,0.4536564171122995,0.9777941176470588,0.617813268122924,0.44800000000000006
P00533,EGFR,24,197,0,1.6,23.166666666666668,21.0,0,0,0.5686100545088417,0.11393645885291326,0.11910234028241518,0.8134920634920636,0.7404551199817219,0.7732286828798771,0.643986506777853,0.7783532591656162,0.7783532591656162,0.7783532591656162,0.6501100552960122,0.6995556046391503,0.7088909531367579,0.6976449449728447,0.5816448330163281,0.8208287005046374,0.8216206539914587,0.8155095213480593,0.6943983283097942,0.6943897232096484,0.691204008428801,0.6892042573253034,0.5451117954227352,0.5545416422680916,0.5519502559338562,0.5505912479215046,0.39827967818278687,0.031746031746031744,0.02757986277008016,0.029492560066103082,0.015390070732064368,0.02757986277008016,0.02757986277008016,0.02757986277008016,0.014352708378251524,0.17152853107849295,0.17152853107849295,0.17152853107849295,0.0946752425304705,0.09640873015873008,0.08784544324770775,0.09169272908184516,0.04903812840447119,0.09389229717051036,0.09389229717051036,0.09389229717051036,0.05028911475043013,0.42408538497374976,0.9804176288687158,0.5907956432890609,0.42052469135802467
P29317,EPHA2,24,64,0,1.228,22.833333333333332,19.5,0,0,0.7933098083307861,0.08360615323106602,0.03405830105402996,0.8573103154305199,0.7268832480836677,0.7684865853931367,0.6263526570048309,0.9019355056087512,0.9019355056087512,0.9019355056087512,0.831224693181215,0.7737041621994539,0.8308220732991899,0.7921811156381278,0.665182042564974,0.7737041621994539,0.8308220732991899,0.7921811156381278,0.665182042564974,0.82325201437649,0.8126702682157131,0.8058413963813184,0.6948585270492039,0.8004205224599961,0.5478730171536236,0.6411256825133852,0.47530556374622246,0.03665814151747656,0.028178803179756653,0.031302168635549237,0.016027630000616386,0.028178803179756653,0.028178803179756653,0.028178803179756653,0.014400678789453164,0.2073532495381275,0.2073532495381275,0.2073532495381275,0.11769824304789438,0.08906969309462909,0.07636936035896752,0.08019990999316017,0.042648239341322565,0.08905110184649656,0.08905110184649656,0.08905110184649656,0.04756937992092188,0.6150311025311026,0.9912685560053981,0.7543060782927999,0.6126126126126127
P34913,EPHX2,26,119,0,1.87,16.46153846153846,12.423076923076923,0,0,0.28751963176284523,0.3943469278645934,0.18679338723619854,0.7386587771203157,0.5708902999679013,0.6260042692027326,0.48837174782860604,0.693264887548102,0.693264887548102,0.693264887548102,0.5892972789915644,0.3443118492557223,0.8711796784451246,0.4824247807767955,0.33858242044711956,0.3927707977146707,0.969470276735723,0.546677732126521,0.38721028211845954,0.5518653898841172,0.5521159131055862,0.5269501401307936,0.41113030633346387,0.4727962858397641,0.42303549302135923,0.4094405337907479,0.29725756530104364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05296937640439458,0.05296937640439458,0.05296937640439458,0.028244067611161962,0.05016272189349113,0.03576393419251811,0.040842514857445576,0.021615013384039112,0.04918123575938726,0.04918123575938726,0.04918123575938726,0.026074879540893124,0.23645132193316298,0.9312045677061156,0.37200483360777387,0.23368298368298365
P03372,ESR1,26,434,2,1.2,10.76923076923077,8.423076923076923,0,0,0.6211565884922947,0.24400930266314858,0.1519564196487272,0.7313034188034186,0.5552374975451898,0.6275403646920675,0.509861719477104,0.6595543345543345,0.6595543345543345,0.6595543345543345,0.5511674223212684,0.4872941161402701,0.5318608741685664,0.49945102831286914,0.35279233448142716,0.5147666436127974,0.5466537735768504,0.5186817975436384,0.36561284730193994,0.5793469991546915,0.5876586767932921,0.5714954013547454,0.4596426082872633,0.2849351503197657,0.21579168694553313,0.22882961551692205,0.14048178442974824,0.02297008547008547,0.016115294961448808,0.018900397847766266,0.009939913887282308,0.016115294961448808,0.016115294961448808,0.016115294961448808,0.008412167542602326,0.09545753391907238,0.09545753391907238,0.09545753391907238,0.05165805500641952,0.053600427350427346,0.04209826071364532,0.0464850932807589,0.02500934708929767,0.05431973581973581,0.05431973581973581,0.05431973581973581,0.029219848319883272,0.2644983039719882,0.9585798816568047,0.41058571343034067,0.2641700404858299
P00742,F10,25,131,0,1.62,19.68,19.0,0,0,0.525874629111923,0.060416512623942986,0.12387953975848698,0.8694736842105263,0.8264853041695147,0.8468449181876653,0.7889981178242047,0.8413193590035695,0.8413193590035695,0.8413193590035695,0.780454634610241,0.8090571715865833,0.661267991726196,0.7233914252490482,0.5865596183299508,0.8090571715865833,0.661267991726196,0.7233914252490482,0.5865596183299508,0.7455941444520393,0.7450406175867476,0.7442601042181326,0.6697005209698347,0.20526315789473684,0.19134335839598995,0.1978816063026589,0.15374849498327758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868153985677205,0.1868153985677205,0.1868153985677205,0.10404167384598555,0.08614736842105258,0.08200634080745531,0.08394989337166786,0.044997416599874634,0.08475253910176507,0.08475253910176507,0.08475253910176507,0.04543027759858743,0.3983473824312334,0.9861475256769374,0.5668793735079489,0.39673469387755106
P00734,F2,25,263,0,1.31,18.84,20.0,0,0,0.6398649032324137,0.16804863715127538,0.04645901970836175,0.87,0.9223981247585367,0.88773053938431,0.8158794654620742,0.858554672253757,0.858554672253757,0.858554672253757,0.7935997987943069,0.7019513628487246,0.7056759289528169,0.6987798495065961,0.5500873267422467,0.7019513628487246,0.7056759289528169,0.6987798495065961,0.5500873267422467,0.8235409802916382,0.8284592324850333,0.811477542939797,0.7102839917236161,0.772688197767145,0.6745037940701556,0.7106211781114944,0.5755273856578205,0.004,0.005714285714285714,0.004705882352941176,0.0024242424242424242,0.0,0.0,0.0,0.0,0.13785299546626778,0.13785299546626778,0.13785299546626778,0.07511821350612355,0.07715999999999995,0.08185787081339711,0.07866161079348187,0.04192625107989902,0.07979042258148665,0.07979042258148665,0.07979042258148665,0.04264126828474362,0.6714814814814816,0.9931818181818182,0.7949786992822527,0.67
P14324,FDPS,26,57,3,1.95,14.884615384615385,4.423076923076923,0,0,0.4960139651872547,0.3728752048432489,0.2456812905578981,0.6596153846153846,0.18477474141322678,0.28696101687756015,0.17969958153037455,0.5184591907457471,0.5184591907457471,0.5184591907457471,0.41952574275151083,0.28674017977213573,0.6938089189131105,0.40193060352365506,0.2689010449049505,0.46030416808325636,0.7629363501862906,0.5183762184712395,0.36971632986245495,0.4139340940574865,0.4146960736284831,0.40846100932976154,0.33272108873189166,0.39906311637080866,0.32977492460702745,0.3558283046944594,0.2845142405848054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10613561638805745,0.10613561638805745,0.10613561638805745,0.057436139900430325,0.05123076923076924,0.015594576134154008,0.02368893296507714,0.012584552953403065,0.051159746674497214,0.051159746674497214,0.051159746674497214,0.027153887215867503,0.20174607982403522,0.939376896819145,0.33032994077243916,0.1995540691192865
P11362,FGFR1,25,65,0,1.91,19.16,16.0,0,0,0.4740064742123982,0.33729358180943103,0.15740176782367954,0.86,0.7275700933053875,0.78387144347492,0.6660362632237716,0.7931205872558813,0.7931205872558813,0.7931205872558813,0.6817463465166493,0.522706418190569,0.6310156610159706,0.5662157392024892,0.47605574643821486,0.7418498181342785,0.8538290045351964,0.7857741807609309,0.6583068286892971,0.7025982321763204,0.7032894620901975,0.694788049087065,0.5663559089834121,0.7370660189483718,0.6895770536652891,0.7033231764663787,0.5575893908786358,0.0025,0.0018181818181818182,0.002105263157894737,0.001081081081081081,0.0018181818181818182,0.0018181818181818182,0.0018181818181818182,0.0009302325581395348,0.14588246181063516,0.14588246181063516,0.1458824618106352,0.0794903773680098,0.073925,0.0617578220575434,0.06694423361014425,0.035600120419793296,0.07627461242919444,0.07627461242919444,0.07627461242919444,0.04058374675752404,0.32064957849168374,0.9511636363636364,0.4776068731163234,0.3192982456140351
P62942,FKBP1A,25,44,0,1.6,14.96,13.0,0,0,0.6366045265654026,0.17530378054911755,0.18790695488721787,0.8369230769230769,0.7507142857142857,0.7905583652618136,0.734424704924705,0.8038571428571428,0.8038571428571428,0.8038571428571428,0.7568583019414663,0.6616192963739593,0.6479937343358395,0.6399231816508791,0.5709986588380584,0.8176907249453879,0.7953032581453634,0.7813741326018301,0.7063162040379567,0.649016122035859,0.6519950139772507,0.6490804719126949,0.5906705438264314,0.3269230769230769,0.3282857142857143,0.3265576354679803,0.2833290598290598,0.006153846153846154,0.005333333333333333,0.005714285714285715,0.002962962962962963,0.013904761904761904,0.013904761904761904,0.013904761904761904,0.0072030651340996175,0.26541170233275496,0.26541170233275496,0.26541170233275496,0.1554785830971738,0.13732307692307677,0.12134241951031419,0.12861741492989767,0.07091741897508595,0.13898370348949288,0.13898370348949288,0.13898370348949288,0.07699567047508772,0.2275970027863506,0.9374122807017544,0.36550525976570947,0.22516129032258064
